domain,value
general,3.33941553061753
general,3.72229972360317
general,3.58876833097969
general,2.99230483505646
general,2.99230483505646
general,3.2799869075095
general,3.72229972360317
general,3.62709760307019
general,4.04075345472325
general,2.99230483505646
general,3.72229972360317
general,3.94544327491787
general,3.74488063872805
general,3.33941553061753
general,3.68645346445424
general,3.72229972360317
general,3.14645551488444
general,3.33941553061753
general,3.2799869075095
general,3.62709760307019
general,4.26900288301429
general,2.99230483505646
general,3.49356621044681
general,3.62709760307019
general,2.99230483505646
general,2.99230483505646
general,3.43461765115381
general,3.49356621044681
general,3.43461765115381
general,2.99230483505646
general,3.43461765115381
general,2.99230483505646
general,3.33941553061753
general,3.62709760307019
general,2.99230483505646
general,3.74488063872805
general,3.94555133419042
general,3.62709760307019
general,3.8400827592609
general,3.43461765115381
general,3.74488063872805
general,3.43461765115381
general,3.72229972360317
general,3.94544327491787
general,4.1126054188521
general,3.85024115438493
general,3.14645551488444
general,4.44744121229353
general,3.62709760307019
general,3.49356621044681
general,3.43461765115381
general,3.33941553061753
general,3.62709760307019
general,4.03256271117924
general,2.99230483505646
general,3.58876833097969
general,2.99230483505646
general,2.99230483505646
general,2.99230483505646
general,3.74488063872805
general,3.72229972360317
general,3.33941553061753
general,3.2799869075095
general,2.99230483505646
general,2.99230483505646
general,3.72229972360317
general,3.62709760307019
general,3.33941553061753
general,3.72229972360317
general,3.94544327491787
general,4.04075345472325
general,3.62709760307019
general,3.62709760307019
general,3.86353777490682
general,3.33941553061753
general,3.85024115438493
general,3.49356621044681
general,3.3977699431663
general,3.72229972360317
general,3.43461765115381
general,3.94544327491787
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,3.58876833097969
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.20758052038186
security,4.75412422675118
security,4.75412422675118
security,4.11227034057724
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.04075345472325
security,4.04075345472325
security,4.75412422675118
security,4.04075345472325
security,4.04075345472325
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.04075345472325
security,4.75412422675118
security,4.75412422675118
security,4.04075345472325
security,3.94544327491787
security,4.75412422675118
security,4.20758052038186
security,3.8400827592609
security,3.94544327491787
security,4.04075345472325
security,4.75412422675118
security,4.00690982491905
security,4.37463460504423
security,4.00690982491905
security,4.75412422675118
security,4.04075345472325
security,4.75412422675118
security,3.49356621044681
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.20758052038186
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.20758052038186
security,3.72229972360317
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.12776483171214
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.04075345472325
security,4.70005700547899
security,4.11227034057724
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.75412422675118
security,4.04075345472325
security,4.75412422675118
security,3.2799869075095
security,4.75412422675118
