domain,value
business,3.121928
business,3.121928
business,2.584963
business,1.918296
business,2.584963
business,3.121928
business,3.321928
business,2.521641
business,3.121928
business,2.75
business,2.947703
business,3
business,3.121928
business,2.75
business,3.121928
business,2.521641
business,2.251629
business,3.121928
business,2.251629
business,3.321928
business,2.921928
business,1.918296
business,2.584963
business,3.121928
business,3.121928
business,3.321928
business,3.121928
business,2.947703
business,3.121928
business,3.321928
business,3.321928
business,2.584963
business,3.121928
business,2.845351
business,3.321928
business,3.121928
business,3.121928
business,2.947703
business,3.321928
business,1.918296
business,3.169925
business,3.321928
business,3.321928
business,3.121928
business,3.121928
business,3.121928
business,3.321928
business,1.921928
business,3.321928
business,2.947703
business,3.121928
business,2.75
business,3.121928
business,0
business,3.121928
business,2.807355
business,2.321928
business,2.75
business,2.947703
business,3.121928
business,3.121928
business,2.75
business,2.155639
business,3.121928
business,3.121928
business,2.584963
business,3.121928
business,2.584963
business,3.121928
business,2.521641
business,2.584963
business,3.121928
business,3.121928
business,3.121928
business,2.521641
business,3.095795
business,2.584963
business,2.75
business,2.521641
business,2.807355
business,2.75
business,2.550341
business,2.725481
business,3.121928
business,3.121928
business,2.947703
business,3.121928
business,3.121928
general,2.584963
general,2.75
general,2.75
general,1.921928
general,3.459432
general,1.918296
general,3.169925
general,2.855389
general,2.521641
general,3.180833
general,2.251629
general,2.235926
general,2.584963
general,3
general,2.855389
general,3.121928
general,3.418296
general,3.169925
general,2.75
general,3.039149
general,2.845351
general,2.75
general,2.947703
general,2.75
general,3.277613
general,2.405639
general,2.75
general,3.169925
general,2.947703
general,2.058814
general,2.947703
general,2.155639
general,2.641604
general,2.584963
general,3.169925
general,3.321928
general,2.521641
general,2.521641
general,2.5
general,2.947703
general,3.238901
general,3.459432
general,3
general,2.807355
general,2.725481
general,2.584963
general,2.419382
general,2.807355
general,3.180833
general,2.75
general,2.721928
general,3.189898
general,3.121928
general,2.75
general,2.584963
general,3.022055
general,2.584963
general,2.947703
general,3.459432
general,3.251629
general,2.921928
general,2.521641
general,3.640224
general,2.521641
general,3.251629
general,3.169925
general,3.321928
general,3.121928
general,3.182006
general,3.095795
general,3.20282
general,3.085055
general,2.947703
general,2.25
general,2.503258
general,2.5
general,3.459432
general,3
general,1.918296
general,2.75
general,3.459432
general,2.641604
general,3.169925
general,2.913977
general,2.75
general,2.5
general,2.807355
general,2.584963
general,2.584963
general,2.75
general,2.845351
general,2.75
general,2.725481
general,2.584963
general,2.584963
general,3.095795
general,2.75
general,3.169925
general,2.921928
general,1.584963
general,2.75
general,3.277613
general,2.646439
general,2.584963
general,2.807355
general,2.5
general,2.503258
general,2.646439
general,2.947703
general,2.725481
general,3.121928
general,2.75
general,3.235926
general,2.807355
general,3.169925
general,3
general,2.75
general,2.5
general,2.251629
general,2.419382
general,2.5
general,3.418296
general,2.732159
general,3.169925
general,3.321928
general,2.19716
general,3.169925
general,2.75
general,2.5
general,2.725481
general,3
general,3.169925
general,2.125815
general,3.121928
general,1.75
general,2.947703
general,3.121928
general,2.521641
general,2.584963
general,3
general,2.75
general,3
general,2.584963
general,2.947703
general,3.121928
general,2.251629
general,3
general,2.947703
general,3.238901
general,2.521641
general,2.5
general,2.75
general,2.947703
general,2.584963
general,3
general,2.521641
general,2.75
general,3.321928
general,2.725481
general,2.75
general,2.75
general,2.807355
general,2.25
general,2.584963
general,3.121928
general,3.169925
general,2.235926
general,2.721928
general,2.846439
general,2.75
general,3.323231
general,2.725481
general,2.405639
general,2.503258
general,3
general,2.75
general,3.121928
general,2.75
general,2.947703
general,3.085055
general,2.75
general,2.921928
general,2
general,2.807355
general,3.085055
general,3
general,2.584963
general,3.169925
general,3
general,3.321928
general,2.845351
general,2.725481
general,2.419382
general,2.75
general,3
general,2.235926
general,2.725481
general,3.277613
general,3.238901
general,2.840224
general,2.251629
general,3.121928
general,2.845351
general,2.721928
general,2.521641
general,2.75
general,3.277613
general,3.418296
general,3.121928
general,3.125
general,3.095795
general,2.807355
general,3.418296
general,3.251629
general,3.169925
general,2.913977
general,3
general,2.947703
general,2.235926
general,2.75
general,2.251629
general,2.321928
general,3.180833
general,2.751629
general,2.251629
general,2.725481
general,2.481715
general,2.75
general,2.913977
general,3.763342
general,3.169925
general,3.121928
general,2.75
general,2.947703
general,2.947703
general,2.663533
general,2.725481
general,2.5
general,2.521641
general,2.235926
general,2.921928
general,2.646439
general,1.921928
general,2.405639
general,2.947703
general,2.405639
general,3.169925
general,3.169925
general,3.180833
general,1.921928
general,2.235926
general,3.169925
general,2.75
general,2.725481
general,2.807355
general,2.521641
general,2.5
general,2.947703
general,1.584963
general,2.921928
general,2.641604
general,2.5
general,2.584963
general,2.5
general,2.503258
general,3.392747
general,3.251629
general,2.251629
general,2.75
